postcodeSector,households,numberOfPostcodeUnits,headcount
CH3  8,1711,180,4547
CH3  9,1813,252,4455
CH4  0,4398,23,11866
CH4  7,3469,239,7845
CH4  8,5115,207,11555
CH4  9,1474,191,3555
CH41 0,1640,80,3519
CH41 1,365,122,476
CH41 2,1516,117,2472
CH41 3,772,108,1276
CH41 4,1483,130,3194
CH41 5,552,117,771
CH41 6,138,127,539
CH41 7,1095,88,2345
CH41 8,1344,130,3124
CH41 9,866,95,1891
CH42 0,1244,81,2956
CH42 1,1565,93,3617
CH42 2,1069,78,2765
CH42 3,1265,58,2241
CH42 4,1939,91,4465
CH42 5,1528,70,2975
CH42 6,1895,83,4062
CH42 7,1078,57,2511
CH42 8,1037,85,2420
CH42 9,1767,108,4601
CH43 0,2154,104,4749
CH43 1,1526,90,2906
CH43 2,2115,115,4083
CH43 3,1209,90,2823
CH43 4,1490,76,2669
CH43 5,1867,106,2969
CH43 6,899,66,1592
CH43 7,2397,180,6595
CH43 8,833,42,1568
CH43 9,3325,214,7876
CH44 0,1401,91,3329
CH44 1,1199,71,2703
CH44 2,1190,87,2938
CH44 3,1049,73,2282
CH44 4,1935,117,4186
CH44 5,1499,106,3299
CH44 6,1243,91,2544
CH44 7,968,91,1962
CH44 8,1517,91,2684
CH44 9,1642,88,3419
CH45 0,713,53,1762
CH45 1,1366,89,2959
CH45 2,1520,87,2395
CH45 3,1193,102,2754
CH45 4,1767,124,3632
CH45 5,2007,129,4511
CH45 6,1055,64,2424
CH45 7,1537,103,3730
CH45 8,1997,112,4032
CH45 9,1080,64,1979
CH46 0,1669,112,3835
CH46 1,1111,78,3449
CH46 2,1209,49,2479
CH46 3,811,47,1909
CH46 5,244,22,538
CH46 6,2348,136,5057
CH46 7,1273,66,2623
CH46 8,1389,67,2582
CH46 9,1402,82,2745
CH47 0,248,43,1134
CH47 1,296,33,646
CH47 2,1018,85,2185
CH47 3,1036,75,2107
CH47 4,466,43,770
CH47 5,289,35,832
CH47 6,372,31,723
CH47 7,499,38,1031
CH47 9,540,34,986
CH48 0,932,48,1213
CH48 1,358,84,1246
CH48 2,576,66,1169
CH48 3,719,52,1544
CH48 4,437,74,1308
CH48 5,1196,91,2216
CH48 6,905,58,2179
CH48 7,255,46,995
CH48 8,540,49,1162
CH48 9,1024,56,1897
CH49 0,860,66,2094
CH49 1,997,59,2433
CH49 2,1576,93,3670
CH49 3,1520,101,3138
CH49 4,2359,136,5517
CH49 5,744,51,1478
CH49 6,1740,104,3728
CH49 7,990,50,2556
CH49 8,1351,56,2348
CH49 9,828,62,2606
CH60 0,633,78,1015
CH60 1,810,62,1780
CH60 2,660,54,1346
CH60 3,414,54,1126
CH60 4,363,50,968
CH60 5,904,55,1735
CH60 6,532,49,1250
CH60 7,624,55,1388
CH60 8,411,62,1183
CH60 9,548,58,1261
CH61 0,219,16,512
CH61 1,520,57,1371
CH61 2,256,18,657
CH61 3,774,46,1631
CH61 4,1241,71,2601
CH61 5,1176,53,2180
CH61 6,1094,63,2331
CH61 7,904,53,1628
CH61 8,1015,57,2208
CH61 9,720,57,2002
CH62 0,494,57,1428
CH62 1,1575,89,3113
CH62 2,1533,92,3104
CH62 3,503,99,1524
CH62 4,914,111,3216
CH62 5,1194,100,2560
CH62 6,1656,87,3186
CH62 7,1517,132,3676
CH62 8,2122,109,5218
CH62 9,1575,92,3286
CH63 0,1914,132,4347
CH63 1,149,24,455
CH63 2,2103,132,4662
CH63 3,1816,121,4319
CH63 4,145,30,304
CH63 5,1707,127,4342
CH63 6,216,25,270
CH63 7,1787,113,3460
CH63 8,1316,104,2922
CH63 9,1912,141,4278
CH64 0,1263,78,2703
CH64 1,648,72,1316
CH64 2,578,60,1291
CH64 3,932,81,2366
CH64 4,1286,95,2315
CH64 5,392,45,795
CH64 6,1401,116,2947
CH64 7,128,34,408
CH64 8,66,17,262
CH64 9,2088,163,4784
CH65 0,498,82,1002
CH65 2,1410,90,2846
CH65 3,471,71,1959
CH65 4,547,128,2192
CH65 5,1527,97,4517
CH65 6,1382,105,3447
CH65 7,1628,88,4099
CH65 8,2179,112,4840
CH65 9,2450,158,5601
CH66 1,2878,207,7463
CH66 2,5245,317,12210
CH66 3,2696,162,5694
CH66 4,3671,257,8956
CH66 5,463,47,717
CH66 6,160,15,298
CH66 7,84,30,357
CM0  7,3611,365,9037
CM0  8,3728,324,8863
CM1  1,1760,354,6263
CM1  2,6765,358,16431
CM1  3,3617,336,8481
CM1  4,5579,372,13552
CM1  6,5420,305,15497
CM1  7,3526,252,9203
CM11 1,2823,251,7416
CM11 2,4796,344,11643
CM12 0,5313,377,12531
CM12 9,3313,344,8130
CM13 1,3500,330,8604
CM13 2,4406,293,10364
CM13 3,2552,336,6389
CM14 4,5032,381,12207
CM14 5,4221,352,9184
CM15 0,3563,301,8863
CM15 8,2414,252,5724
CM15 9,3776,262,9363
CM16 4,1747,223,4376
CM16 5,1644,109,3864
CM16 6,3604,288,8642
CM16 7,2911,239,7047
CM17 0,3093,291,8916
CM17 9,6078,348,16991
CM18 6,5580,325,13683
CM18 7,4895,285,12330
CM19 4,4591,263,11834
CM19 5,3543,318,8994
CM2  0,2634,346,6897
CM2  6,6255,387,15659
CM2  7,3783,308,8398
CM2  8,6385,376,15138
CM2  9,6043,339,14924
CM20 1,3082,304,8194
CM20 2,1849,322,5998
CM20 3,4789,261,11736
CM21 0,1751,159,4306
CM21 9,3144,260,7081
CM22 6,2770,355,9353
CM22 7,2522,315,6781
CM23 1,629,131,2097
CM23 2,3301,382,9500
CM23 3,4221,369,10596
CM23 4,4997,282,12428
CM23 5,3575,266,9236
CM24 8,2880,371,8696
CM3  1,2276,247,5890
CM3  2,2296,269,5179
CM3  3,2066,252,6831
CM3  4,3782,360,9355
CM3  5,6133,396,14331
CM3  6,3881,360,9994
CM3  7,582,45,1612
CM3  8,1231,159,2933
CM4  0,2055,292,4763
CM4  9,2469,297,5650
CM5  0,2355,289,5934
CM5  9,2260,280,5850
CM6  1,5137,394,13949
CM6  2,2613,274,6757
CM6  3,2702,358,8553
CM7  1,4005,251,9786
CM7  2,2443,206,6539
CM7  3,4908,267,11085
CM7  4,1837,294,4281
CM7  5,4029,348,9555
CM7  9,3640,244,9729
CM77 6,1066,107,2835
CM77 7,2676,162,7126
CM77 8,2155,233,5919
CM8  1,6090,388,15116
CM8  2,5224,388,13218
CM8  3,2838,372,7333
CM9  4,3854,293,9539
CM9  5,2132,182,4354
CM9  6,4806,388,11942
CM9  8,4047,340,9526
CO1  1,2465,389,5694
CO1  2,5367,388,12341
CO10 0,5592,395,14680
CO10 1,3703,237,8779
CO10 2,2378,245,4569
CO10 5,979,142,2694
CO10 7,2891,312,6931
CO10 8,2544,255,5836
CO10 9,3159,300,6820
CO11 1,2685,310,5617
CO11 2,3147,329,8348
CO12 3,3527,298,7635
CO12 4,5056,312,11701
CO12 5,1666,164,4124
CO13 0,3882,302,8694
CO13 9,2492,210,4133
CO14 8,3733,277,7178
CO15 1,3477,323,7204
CO15 2,3696,227,6834
CO15 3,4077,271,9713
CO15 4,4060,284,8446
CO15 5,3614,270,7048
CO15 6,2914,208,5756
CO16 0,1278,156,3152
CO16 7,2312,127,4694
CO16 8,5304,371,12627
CO16 9,2528,264,6089
CO2  0,1868,177,4614
CO2  7,3600,340,11716
CO2  8,5545,376,14377
CO2  9,3333,252,10204
CO3  0,3369,246,8599
CO3  3,3753,328,8171
CO3  4,2906,222,6810
CO3  8,332,108,3763
CO3  9,2002,157,5497
CO4  0,3129,191,7538
CO4  3,6569,395,16753
CO4  5,6007,395,16558
CO4  9,3774,254,9273
CO5  0,4262,318,10315
CO5  7,1993,205,5109
CO5  8,3676,351,7515
CO5  9,2693,316,6562
CO6  1,4180,381,9750
CO6  2,2651,274,6569
CO6  3,2582,269,5942
CO6  4,2541,324,6017
CO6  5,363,164,700
CO7  0,3899,300,8680
CO7  6,2641,326,6011
CO7  7,2297,340,5923
CO7  8,2478,304,6791
CO7  9,3483,290,7617
CO8  5,1035,141,2406
CO9  1,4236,346,9893
CO9  2,2711,309,7180
CO9  3,2471,241,6409
CO9  4,1715,238,4339
CR0  0,6685,261,18072
CR0  1,4367,307,11058
CR0  2,8444,365,25634
CR0  3,6828,258,20009
CR0  4,7069,361,19767
CR0  5,4895,257,11412
CR0  6,9704,318,23284
CR0  7,6281,300,16456
CR0  8,4972,272,12871
CR0  9,4513,163,11743
CR2  0,4437,301,11057
CR2  6,4950,345,11798
CR2  7,3780,252,8928
CR2  8,4343,280,11463
CR2  9,2736,198,7116
CR3  0,1957,170,4692
CR3  5,5135,387,13828
CR3  6,4135,346,9912
CR3  7,806,124,2583
CR4  1,6428,351,19340
CR4  2,5014,299,14237
CR4  3,7139,377,20570
CR4  4,3812,285,10740
CR5  1,4338,286,10441
CR5  2,3553,329,10146
CR5  3,3449,334,11376
CR6  9,4193,319,10322
CR7  6,3100,191,9601
CR7  7,6525,335,18341
CR7  8,7036,368,19009
CR8  1,1828,164,5136
CR8  2,3554,280,8548
CR8  3,1709,198,5210
CR8  4,2319,168,6333
CR8  5,3295,249,8144
CT1  1,5173,390,14327
CT1  2,2186,366,5182
CT1  3,5165,387,12620
CT10 1,3936,344,7482
CT10 2,4773,364,10409
CT10 3,3254,243,7270
CT11 0,3478,235,7826
CT11 7,3927,255,9181
CT11 8,3276,253,5893
CT11 9,3654,362,7072
CT12 4,1957,152,4025
CT12 5,1350,184,3251
CT12 6,4879,298,11795
CT13 0,2592,241,5902
CT13 9,1633,272,2609
CT14 0,1276,183,3401
CT14 6,3032,313,4945
CT14 7,4714,342,8785
CT14 8,1454,144,2401
CT14 9,6448,383,16000
CT15 4,1543,169,3551
CT15 5,1435,165,3212
CT15 6,1501,133,2614
CT15 7,1557,219,3984
CT16 1,2039,341,4093
CT16 2,4499,249,10614
CT16 3,2388,228,6386
CT17 0,5469,353,12546
CT17 9,4373,325,9732
CT18 7,4518,326,11467
CT18 8,1408,184,3426
CT19 4,3738,264,8817
CT19 5,4404,345,10863
CT19 6,4018,227,8620
CT2  0,2535,221,6228
CT2  7,3556,378,14187
CT2  8,3295,242,7734
CT2  9,1562,152,4182
CT20 1,4130,346,6821
CT20 2,4446,362,7559
CT20 3,3490,346,9394
CT21 4,1925,245,4983
CT21 5,3197,332,6449
CT21 6,3221,247,6165
CT3  1,2603,348,6396
CT3  2,1392,159,3313
CT3  3,1798,189,6900
CT3  4,1471,172,4046
CT4  5,1812,253,4102
CT4  6,2208,321,5008
CT4  7,2290,265,6102
CT4  8,842,118,1975
CT5  1,3884,328,7402
CT5  2,4035,287,7874
CT5  3,2834,318,7563
CT5  4,4816,323,10326
CT6  5,3824,341,8246
CT6  6,4347,322,10719
CT6  7,5177,342,12578
CT6  8,4014,290,8947
CT7  0,2248,189,4261
CT7  9,4006,291,7868
CT8  8,3759,264,7903
CT9  1,3824,345,7661
CT9  2,5205,339,11557
CT9  3,5033,331,11131
CT9  4,1906,174,4772
CT9  5,4811,307,11234
CV1  1,217,225,1596
CV1  2,2819,359,8005
CV1  3,2331,226,4711
CV1  4,3824,277,9116
CV1  5,3490,316,12510
CV10 0,5642,364,15743
CV10 7,4733,283,12034
CV10 8,5220,213,12415
CV10 9,5828,317,16252
CV11 4,5347,339,11975
CV11 5,5140,304,11386
CV11 6,6490,397,18065
CV12 0,3877,213,9396
CV12 8,4780,290,10651
CV12 9,5388,249,12051
CV13 0,2841,223,6449
CV13 6,1799,174,4607
CV2  1,5507,352,14786
CV2  2,5359,357,13195
CV2  3,5501,261,14147
CV2  4,5967,327,14158
CV2  5,5066,244,11840
CV21 1,4193,376,12737
CV21 2,3889,331,8427
CV21 3,4679,352,10886
CV21 4,3386,193,8126
CV22 5,3708,249,10404
CV22 6,4735,289,10636
CV22 7,6361,373,18761
CV23 0,3987,392,11517
CV23 8,1939,368,6139
CV23 9,2893,300,8323
CV3  1,3708,266,14497
CV3  2,6838,391,16270
CV3  3,3847,179,8832
CV3  4,2134,173,4398
CV3  5,5863,284,12649
CV3  6,5085,314,13561
CV31 1,5137,395,13255
CV31 2,4951,292,12752
CV31 3,3088,276,8412
CV32 4,1611,328,3472
CV32 5,4252,388,7465
CV32 6,3311,266,8287
CV32 7,5959,322,13690
CV33 9,2646,337,8379
CV34 4,2866,279,5233
CV34 5,6448,396,14322
CV34 6,4912,388,13841
CV35 0,2544,330,6265
CV35 7,2238,252,5048
CV35 8,2470,286,6428
CV35 9,3375,317,9129
CV36 4,3103,290,7548
CV36 5,1374,192,2898
CV37 0,2952,321,8282
CV37 6,3961,381,6089
CV37 7,3822,336,9589
CV37 8,3118,387,9482
CV37 9,5353,382,12164
CV4  7,1714,146,9486
CV4  8,3125,241,9544
CV4  9,7572,396,18285
CV47 0,976,99,3184
CV47 1,1857,139,4279
CV47 2,2141,265,6452
CV47 7,336,43,798
CV47 8,1013,116,2821
CV47 9,861,76,2638
CV5  6,5642,361,12275
CV5  7,5271,279,12038
CV5  8,5471,255,12365
CV5  9,4447,286,10405
CV6  1,5865,265,13599
CV6  2,5135,244,13708
CV6  3,4308,182,11219
CV6  4,5314,253,14754
CV6  5,4872,354,15549
CV6  6,4536,281,11343
CV6  7,5076,251,13940
CV7  7,4553,374,11363
CV7  8,3677,287,9418
CV7  9,3664,271,8527
CV8  1,4999,365,11384
CV8  2,6037,393,13235
CV8  3,2937,235,6653
CV9  1,2731,247,6440
CV9  2,3908,276,9525
CV9  3,2769,234,6731
CW1  2,855,190,1515
CW1  3,7667,393,18657
CW1  4,4705,315,13357
CW1  5,4343,287,9946
CW1  6,533,237,1326
CW10 0,3186,295,8800
CW10 9,3078,265,6809
CW11 1,3357,300,7523
CW11 2,821,117,2284
CW11 3,3019,323,10210
CW11 4,2846,244,7029
CW12 1,1941,350,4860
CW12 2,2180,239,5836
CW12 3,4307,333,10526
CW12 4,4823,395,12156
CW2  5,3595,342,10304
CW2  6,4521,342,10693
CW2  7,4167,261,10003
CW2  8,5732,331,13044
CW3  0,1249,147,3232
CW3  9,2893,263,6392
CW4  7,2603,239,6048
CW4  8,1529,218,4819
CW5  5,4130,363,8801
CW5  6,3444,324,8908
CW5  7,3996,316,10855
CW5  8,1879,214,4628
CW6  0,3028,354,7344
CW6  9,2219,374,6272
CW7  1,3874,285,10203
CW7  2,4666,365,11761
CW7  3,3922,305,9491
CW7  4,841,103,3110
CW8  1,3931,305,9153
CW8  2,3985,395,10268
CW8  3,3160,223,7474
CW8  4,4583,390,13394
CW9  5,1605,298,3633
CW9  6,2476,263,5585
CW9  7,4679,375,11757
CW9  8,5642,395,14244
DA1  1,4130,366,10984
DA1  2,4966,332,13004
DA1  3,4672,216,11793
DA1  4,3735,313,10239
DA1  5,4876,366,19348
DA10 0,2904,174,6962
DA11 0,3758,246,8964
DA11 7,3657,231,10202
DA11 8,4307,282,12426
DA11 9,3962,256,9810
DA12 1,2948,219,6836
DA12 2,3792,286,10141
DA12 3,1014,119,2298
DA12 4,5716,265,14264
DA12 5,5966,290,15945
DA13 0,3685,305,8937
DA13 9,2227,194,5395
DA14 4,4307,270,10425
DA14 5,1851,185,4861
DA14 6,3570,281,7852
DA15 7,2179,209,5718
DA15 8,5907,309,15410
DA15 9,3563,192,8617
DA16 1,4805,256,13036
DA16 2,5532,250,14346
DA16 3,3661,240,10104
DA17 5,4479,263,11204
DA17 6,2676,204,8209
DA18 4,2015,101,5202
DA2  6,3970,287,10976
DA2  7,4651,285,11246
DA2  8,662,71,2038
DA3  7,3299,225,8431
DA3  8,3610,244,8688
DA4  0,1395,136,3222
DA4  9,2616,168,6206
DA5  1,2934,241,7477
DA5  2,2069,139,5390
DA5  3,3453,201,8401
DA6  7,1728,223,4845
DA6  8,2365,192,6213
DA7  4,5115,300,12388
DA7  5,4804,246,11439
DA7  6,4588,268,12273
DA8  1,5490,332,14579
DA8  2,4436,242,12033
DA8  3,4134,248,11663
DA9  9,6107,383,15244
DE1  1,2659,376,6116
DE1  2,1478,310,2581
DE1  3,2924,325,7714
DE11 0,6571,380,15335
DE11 7,4194,238,10017
DE11 8,2696,184,6820
DE11 9,5604,322,14593
DE12 6,3273,228,8637
DE12 7,3881,284,9801
DE12 8,1610,133,3649
DE13 0,8102,387,19805
DE13 7,1778,134,4067
DE13 8,3482,277,8350
DE13 9,4323,307,11053
DE14 1,1340,298,3401
DE14 2,5435,309,15731
DE14 3,5864,383,16229
DE15 0,4094,256,9871
DE15 9,6492,330,15139
DE21 2,4448,297,10285
DE21 4,5578,331,13636
DE21 5,1605,98,3501
DE21 6,7479,382,17520
DE21 7,5622,335,12703
DE22 1,3045,193,6233
DE22 2,6120,350,13541
DE22 3,8266,381,17728
DE22 4,3417,221,10281
DE22 5,382,32,968
DE23 1,3457,173,9279
DE23 2,1301,62,3000
DE23 3,2124,172,8511
DE23 4,1114,78,3098
DE23 6,6985,376,19756
DE23 8,7813,318,23142
DE24 0,7035,329,15951
DE24 1,580,15,1254
DE24 3,2462,175,7816
DE24 5,480,55,2475
DE24 8,7209,387,17955
DE24 9,5864,288,14548
DE3  0,3546,224,9382
DE3  9,3822,206,9265
DE4  2,4323,295,8649
DE4  3,5837,371,11996
DE4  4,3267,246,6654
DE4  5,2492,256,6842
DE45 1,4375,363,8047
DE5  3,6032,371,13238
DE5  8,1630,98,4249
DE5  9,2150,101,5006
DE55 1,3066,164,7560
DE55 2,3244,171,7945
DE55 3,1641,95,3553
DE55 4,3878,257,8135
DE55 5,3623,213,8579
DE55 6,3255,194,7986
DE55 7,4399,293,10348
DE56 0,5493,285,12060
DE56 1,6253,390,13242
DE56 2,4154,266,8637
DE56 4,2289,159,5458
DE6  1,5056,356,11718
DE6  2,2450,184,4978
DE6  3,1590,161,4291
DE6  4,468,189,1121
DE6  5,1677,262,4513
DE65 5,4895,280,12332
DE65 6,4668,303,12176
DE7  4,5536,296,12694
DE7  5,4576,320,10477
DE7  6,4627,245,11145
DE7  8,6335,395,13810
DE7  9,1241,65,3074
DE72 2,1833,131,4445
DE72 3,7278,381,16006
DE73 5,1794,110,5130
DE73 6,2740,150,7580
DE73 7,832,84,1921
DE73 8,2733,196,6298
DE74 2,5110,388,12927
DE75 7,8094,384,18655
DH1  1,4206,340,10120
DH1  2,3867,333,8315
DH1  3,1712,308,10307
DH1  4,2835,313,9002
DH1  5,6150,392,14806
DH2  1,4755,300,10157
DH2  2,4653,294,11333
DH2  3,4351,271,8972
DH3  1,3311,235,8378
DH3  2,2439,230,6298
DH3  3,3349,303,6161
DH3  4,2815,209,5901
DH4  4,3639,325,8280
DH4  5,3105,208,6824
DH4  6,3987,306,10516
DH4  7,4023,259,9383
DH5  0,3304,227,7881
DH5  8,2603,187,6241
DH5  9,3118,244,7113
DH6  1,3161,220,6705
DH6  2,4150,299,9636
DH6  3,2582,220,5684
DH6  4,3160,239,7235
DH6  5,2266,199,5856
DH7  0,2697,249,5727
DH7  6,3879,295,8717
DH7  7,3689,244,8123
DH7  8,4706,322,10521
DH7  9,4484,336,9652
DH8  0,3122,269,6818
DH8  5,3003,297,7064
DH8  6,3184,259,6702
DH8  7,4149,267,9312
DH8  8,3151,222,7051
DH8  9,1321,267,2914
DH9  0,2276,256,4235
DH9  6,4697,293,10874
DH9  7,4022,293,8190
DH9  8,3163,290,7254
DH9  9,3122,282,6698
DL1  1,2489,371,7265
DL1  2,5418,348,12031
DL1  3,3834,252,8807
DL1  4,6447,369,13374
DL1  5,3084,284,6436
DL10 4,2592,336,5116
DL10 5,1583,187,3421
DL10 6,1232,222,2859
DL10 7,2900,271,6602
DL11 6,1378,225,1936
DL11 7,1588,264,2911
DL12 0,1356,243,2373
DL12 8,3226,318,6785
DL12 9,1277,262,3204
DL13 1,848,210,1470
DL13 2,1581,297,2981
DL13 3,1507,188,2987
DL13 4,1506,172,3001
DL13 5,1666,199,3139
DL14 0,2840,248,6297
DL14 6,5331,324,11070
DL14 7,2402,275,4741
DL14 8,3269,302,7203
DL14 9,3678,282,8338
DL15 0,3986,298,9044
DL15 8,2477,210,5225
DL15 9,4105,296,8808
DL16 6,5196,353,11832
DL16 7,3949,337,10525
DL17 0,2407,229,5673
DL17 8,4355,237,8515
DL17 9,1865,155,3792
DL2  1,2516,310,6789
DL2  2,3203,361,7757
DL2  3,1888,264,4206
DL3  0,6787,383,14168
DL3  6,4588,277,7754
DL3  7,2143,293,3733
DL3  8,3386,262,7753
DL3  9,4289,325,9850
DL4  1,2430,190,4427
DL4  2,2413,173,5672
DL5  4,4143,312,9846
DL5  5,2925,201,6172
DL5  6,1757,360,4265
DL5  7,4085,205,9208
DL6  1,3915,250,8307
DL6  2,1856,305,4770
DL6  3,1298,230,2624
DL7  0,1403,234,2935
DL7  8,3612,347,7934
DL7  9,1870,273,4800
DL8  1,2059,310,4668
DL8  2,2028,261,4511
DL8  3,1869,232,2734
DL8  4,1940,234,2861
DL8  5,1864,245,3879
DL9  3,1603,189,6077
DL9  4,3040,318,8521
DN1  1,156,260,606
DN1  2,3060,300,6744
DN1  3,1223,257,2370
DN10 4,2401,282,5748
DN10 5,695,105,1742
DN10 6,2377,285,5103
DN11 0,5686,378,13897
DN11 8,3627,280,9189
DN11 9,3079,299,6572
DN12 1,3394,211,8318
DN12 2,2475,162,5689
DN12 3,2578,199,5998
DN12 4,2005,169,4463
DN14 0,3064,359,7853
DN14 5,3625,336,8594
DN14 6,5631,336,13266
DN14 7,3182,388,7885
DN14 8,2109,261,4947
DN14 9,2629,266,6417
DN15 0,449,43,993
DN15 6,2433,249,5009
DN15 7,3585,247,9156
DN15 8,5071,334,12504
DN15 9,4233,326,9543
DN16 1,3969,268,8709
DN16 2,4020,254,8930
DN16 3,6055,347,15132
DN17 1,5229,308,11666
DN17 2,4904,306,11554
DN17 3,3260,262,7141
DN17 4,2794,245,6415
DN18 5,4107,308,9831
DN18 6,1315,123,2941
DN19 7,2756,265,6379
DN2  4,3315,264,8438
DN2  5,3653,264,8215
DN2  6,3479,185,8015
DN20 0,2982,267,6341
DN20 8,3141,307,6678
DN20 9,2422,234,6178
DN21 1,5423,391,13465
DN21 2,3471,292,7049
DN21 3,3236,290,7431
DN21 4,2234,277,5117
DN21 5,2643,309,5979
DN22 0,1934,270,4798
DN22 6,3519,303,6956
DN22 7,6915,396,16843
DN22 8,2116,266,5761
DN22 9,1387,166,3046
DN3  1,3664,275,8000
DN3  2,5018,259,11991
DN3  3,4460,317,10182
DN31 1,1008,275,1806
DN31 2,3682,298,7282
DN31 3,177,234,226
DN32 0,2922,211,6156
DN32 7,3746,242,5991
DN32 8,3717,190,7467
DN32 9,3765,273,8453
DN33 1,2948,191,6991
DN33 2,2211,187,5230
DN33 3,3255,229,8165
DN34 4,3839,256,8502
DN34 5,4730,301,10625
DN35 0,3884,276,8300
DN35 7,5207,259,11039
DN35 8,4029,265,7589
DN35 9,2881,179,5687
DN36 4,4997,390,11960
DN36 5,3639,324,8577
DN37 0,3493,309,7749
DN37 7,1501,229,3544
DN37 8,177,187,402
DN37 9,4263,270,9294
DN38 6,1301,122,2885
DN39 6,1276,137,2891
DN4  0,4786,311,11036
DN4  5,2350,251,6573
DN4  6,5122,345,11737
DN4  7,3383,248,8250
DN4  8,3382,269,8820
DN4  9,4581,235,9158
DN40 1,2400,213,5497
DN40 2,1854,208,4256
DN40 3,1208,177,2682
DN41 7,1178,108,3199
DN41 8,1571,164,3407
DN5  0,4373,281,9666
DN5  7,3762,339,8890
DN5  8,4668,294,10863
DN5  9,4805,255,10845
DN6  0,2673,227,6884
DN6  7,4374,307,10950
DN6  8,3807,229,7976
DN6  9,2374,227,5142
DN7  4,3437,209,8092
DN7  5,3101,264,7227
DN7  6,3090,282,8920
DN8  4,4143,263,9977
DN8  5,3359,306,8418
DN9  1,3826,342,8714
DN9  2,2169,219,4835
DN9  3,2623,285,8111
DT1  1,3163,382,6404
DT1  2,4557,300,10977
DT1  3,1281,208,3983
DT10 1,2886,242,6192
DT10 2,2609,275,5855
DT11 0,2978,290,7295
DT11 7,4717,358,10679
DT11 8,2971,340,7148
DT11 9,2105,231,5115
DT2  0,1780,220,3664
DT2  7,2717,327,5800
DT2  8,3680,383,8366
DT2  9,3609,345,8082
DT3  4,2616,215,6590
DT3  5,4077,272,9249
DT3  6,4339,296,8920
DT4  0,5760,303,12968
DT4  7,4172,312,7997
DT4  8,2811,335,4063
DT4  9,5442,363,12371
DT5  1,2813,209,7110
DT5  2,2797,178,6448
DT6  3,3378,346,6246
DT6  4,3304,267,5708
DT6  5,2918,252,6317
DT6  6,2187,257,3510
DT7  3,3457,337,5568
DT8  3,3107,270,6065
DT9  3,1719,261,3903
DT9  4,2642,278,6176
DT9  5,2319,242,5380
DT9  6,3039,262,6870
DY1  1,399,211,1444
DY1  2,6120,302,14797
DY1  3,4425,257,11766
DY1  4,2315,208,7224
DY10 1,3336,305,7412
DY10 2,4922,356,11989
DY10 3,4711,336,10365
DY10 4,3141,313,7234
DY11 5,4314,314,10571
DY11 6,5778,345,13051
DY11 7,3258,282,8599
DY12 1,2495,259,5023
DY12 2,3158,298,5881
DY12 3,634,117,1209
DY13 0,3297,227,6973
DY13 8,4058,318,9091
DY13 9,3092,285,6854
DY14 0,781,181,1558
DY14 8,1604,243,3901
DY14 9,1273,263,3202
DY2  0,4516,293,11632
DY2  7,3029,219,7774
DY2  8,2815,236,8482
DY2  9,3771,229,8393
DY3  1,4108,269,10080
DY3  2,5163,292,12131
DY3  3,4814,273,10375
DY3  4,770,97,2326
DY4  0,5742,320,14588
DY4  7,4169,320,11282
DY4  8,4719,328,12169
DY4  9,3412,250,10185
DY5  1,2748,266,6593
DY5  2,5937,356,13631
DY5  3,5391,370,13622
DY5  4,3649,205,8860
DY6  0,1722,117,4175
DY6  7,1755,305,5201
DY6  8,4557,298,10832
DY6  9,3650,269,8639
DY7  5,904,178,1833
DY7  6,2726,264,6039
DY8  1,2633,336,6003
DY8  2,2571,211,5829
DY8  3,5580,319,12207
DY8  4,6064,357,14119
DY8  5,5567,317,12773
DY9  0,4582,382,12025
DY9  7,2291,189,5389
DY9  8,2367,271,6114
DY9  9,3452,260,8120
E1   0,3962,248,11586
E1   1,2567,305,7008
E1   2,2895,279,8555
E1   3,2704,219,9004
E1   4,5070,369,16402
E1   5,4085,267,10627
E1   6,2133,333,4199
E1   7,1302,218,3242
E1   8,2203,383,8334
E10  5,5460,369,16402
E10  6,5755,331,17813
E10  7,4422,314,13145
E11  1,4977,354,12018
E11  2,5103,322,12256
E11  3,6359,320,15959
E11  4,5602,385,15808
E12  5,5658,305,16897
E12  6,7364,346,25862
E13  0,6303,295,19749
E13  8,4927,297,15246
E13  9,4777,279,16759
E14  0,3756,329,15903
E14  2,840,45,1569
E14  3,7819,395,19202
E14  4,337,111,465
E14  5,348,216,741
E14  6,4640,330,16778
E14  7,4869,357,17426
E14  8,5802,347,12210
E14  9,8502,398,23920
E15  1,5335,359,17294
E15  2,4649,390,13233
E15  3,5190,263,14750
E15  4,4732,334,13175
E16  1,5197,378,17281
E16  2,3928,378,19319
E16  3,5111,302,14659
E16  4,3578,233,10255
E17  3,4865,310,13205
E17  4,6099,356,18042
E17  5,6329,330,18696
E17  6,6708,395,19712
E17  7,4267,307,12983
E17  8,5791,307,16329
E17  9,5166,349,14085
E18  1,3328,282,8466
E18  2,5407,323,12159
E1W  1,1533,173,2226
E1W  2,2179,208,4925
E1W  3,2819,221,7493
E2   0,4635,316,12895
E2   6,3848,259,9258
E2   7,3956,276,9457
E2   8,3363,320,8986
E2   9,3442,291,9537
E3   2,6445,395,17187
E3   3,3937,371,17780
E3   4,5528,373,17972
E3   5,5132,342,14773
E4   6,7083,367,17113
E4   7,4961,342,13498
E4   8,5472,328,16351
E4   9,6801,365,19533
E5   0,6862,355,16094
